Keyword,Period,Year,Date,Hit_Cleaned,Hit,Index,Intensity,Valence,Temporality,Reasoning
Volk,1946-1969,1946,1946-10-24,"Das deutsche Volk sei sich bei der verständlichen Entrüstung über den Freispruch der Verführer des großen Geschenkes noch gar nicht bewußt geworden, das ihm durch diesen Rechtsspruch, zugefallen sei.","Das deutsche Volk sei sich bei der verständlichen Entrüstung über den Freispruch der Verführer des großen Geschenkes noch gar nicht bewußt geworden, das ihm durch diesen Rechtsspruch, zugefallen sei.",10,2,2,gegenwärtig/neutral,"Der Ausdruck wird kollektivisch-kritisch verwendet und beschreibt das gegenwärtige, noch nicht reflektierte Bewusstsein des Volkes, ohne starke ethnisch-biologische Aufladung."
Volk,1946-1969,1946,1946-03-14,"Wer an die Zukunft unseres Volkes glaubt, muß auch an dem guten und gesunden Sinn unseres Bauern glauben, der am besten weiß, was dem Hofe nützt","Wer an die Zukunft unseres Volkes glaubt, muß auch an dem guten und gesunden Sinn unseres Bauern glauben, der am besten weiß, was dem Hofe nützt",11,4,5,zukünftig/projiziert,Verknüpft die 'Zukunft unseres Volkes' mit idealisiertem Bauerntum und wirkt dadurch nationalistisch und identitätsstiftend.
Volk,1946-1969,1946,1946-06-27,"Die Völker Europas selbst leiden heute unter diesem Schwebezustände ebenso, wenn auch in anderem Sinne und auf einer anderen Ebene, wie wir Deutsche.","Die Völker Europas selbst leiden heute unter diesem Schwebezustände ebenso, wenn auch in anderem Sinne und auf einer anderen Ebene, wie wir Deutsche.",12,3,2,gegenwärtig/neutral,"Der Plural ‚Völker Europas‘ bezeichnet kollektive Bevölkerungsgruppen und betont ihr gegenwärtiges gemeinsames Leid, ohne nationalstolze oder biologisierende Aufladung."
Volk,1946-1969,1946,1946-04-04,"Das Hamburger Völkerkundemuseum ist mit einer Ausstellung ""Arabische Völker"" wieder geöffnet worden, die die Arbeiten der sabäischminäischen Periode auf breitem Raum zeigt.","Das Hamburger Völkerkundemuseum ist mit einer Ausstellung ""Arabische Völker"" wieder geöffnet worden, die die Arbeiten der sabäischminäischen Periode auf breitem Raum zeigt.",13,2,3,gegenwärtig/neutral,"Im musealen/ethnographischen Kontext wird „Völker“ deskriptiv für untersuchte Gruppen verwendet, ohne nationalistische oder stolzbesetzte Rhetorik."
Volk,1946-1969,1946,1946-07-25,"Sie müssen sich heute über das innere und äußere Schicksal ihres Volkes und aller Völker, über Staatskunst, Wirtschaft und Kultur ihre Gedanken mächen.","Sie müssen sich heute über das innere und äußere Schicksal ihres Volkes und aller Völker, über Staatskunst, Wirtschaft und Kultur ihre Gedanken mächen.",14,3,2,zukünftig/projiziert,"‚Schicksal ihres Volkes‘ betont kollektive Bestimmung und Verantwortung (ohne explizite Blutmetaphorik) und ist als Aufforderung zur Reflexion formuliert, ergänzt durch ‚aller Völker‘."
Volk,1946-1969,1946,1946-05-16,Die Völker waren verarmt wie seit Jahrhunderten nicht mehr.,Die Völker waren verarmt wie seit Jahrhunderten nicht mehr.,15,2,1,gegenwärtig/neutral,"Der Plural ‚Völker‘ bezeichnet allgemeine Bevölkerungen in ihrer gegenwärtigen Verarmung 1946 und ist klagend/mahnend, nicht ethnisch-stolzhaft."
Volk,1946-1969,1946,1946-05-09,"Wahrhaftig, ein rätselhaftes Volk, das in seiner langen, dunklen Geschichte immer wieder Gefahren, Unduldsamkeit und Drangsal gleichmütig und pfiffig überdauerte, wenn es zuletzt auch schien, als sollte es bestialisch in den Gaskammern enden, weil die Zigeuner auf der Liste der ""Asozialen"" und nicht auf der Liste der Arier standen.","Wahrhaftig, ein rätselhaftes Volk, das in seiner langen, dunklen Geschichte immer wieder Gefahren, Unduldsamkeit und Drangsal gleichmütig und pfiffig überdauerte, wenn es zuletzt auch schien, als sollte es bestialisch in den Gaskammern enden, weil die Zigeuner auf der Liste der ""Asozialen"" und nicht auf der Liste der Arier standen.",16,3,1,historisch/überholt,"Das Wort tritt als kollektivhistorische Beschreibung auf, kritisch-reflexiv auf Vergangenes (Nazi-Verfolgung) bezogen, nicht als stolzes Identitätszeichen."
Volk,1946-1969,1946,1946-07-18,"Ihren schärfsten Ausdruck aber finden die Gegensätzlichkeiten, die jetzt aus dem Dunkel der anonymen Gerüchte in die Arena der realen politischen Diskussion tauchen, in der Frage, wieweit sich der wirkliche Wille des Volkes in der Postenbesetzung der wichtigen Berliner Schlüsselpositionen ausdrückt.","Ihren schärfsten Ausdruck aber finden die Gegensätzlichkeiten, die jetzt aus dem Dunkel der anonymen Gerüchte in die Arena der realen politischen Diskussion tauchen, in der Frage, wieweit sich der wirkliche Wille des Volkes in der Postenbesetzung der wichtigen Berliner Schlüsselpositionen ausdrückt.",17,2,3,gegenwärtig/neutral,"Dieses 'Volk' bezeichnet den gegenwärtigen politischen Willen der Bevölkerung in Fragen demokratischer Legitimation und ist deskriptiv-politisch, nicht offen ethnisch aufgeladen."
Volk,1946-1969,1947,1947-12-11,"So viel uns auch von mancher Seite im Ausland, auch aus den Reihen unserer ehemaligen Kriegsgegner, in manchen Punkten Verständnis und Wohlwollen entgegengebracht wird, so sind wir doch prinzipiell völlig schutzlos, Jeder im Ausland und im Inland jeder, der der inländischen Gerichtsbarkeit nicht unterworfen ist, ist grundsätzlich nicht gehindert, uns als ein ganzes Volks ohne Unterschied zwischen Schuldigen und Unschuldigen, nach Belieben zu beschuldige, m. beleidigen, zu beschimpfen.","So viel uns auch von mancher Seite im Ausland, auch aus den Reihen unserer ehemaligen Kriegsgegner, in manchen Punkten Verständnis und Wohlwollen entgegengebracht wird, so sind wir doch prinzipiell völlig schutzlos, Jeder im Ausland und im Inland jeder, der der inländischen Gerichtsbarkeit nicht unterworfen ist, ist grundsätzlich nicht gehindert, uns als ein ganzes Volks ohne Unterschied zwischen Schuldigen und Unschuldigen, nach Belieben zu beschuldige, m. beleidigen, zu beschimpfen.",18,3,2,gegenwärtig/neutral,"‚Volk‘ wird hier als die kollektive Bevölkerung in defensiver, nicht ethnisch‑biologischer Weise verwendet und beschreibt die gegenwärtig pauschal beschuldigte Einheit."
Volk,1946-1969,1947,1947-07-31,Herrscht hier etwa das Volk?,Herrscht hier etwa das Volk?,19,2,1,gegenwärtig/neutral,"Skeptische, kritische Frage, die ‚Volk‘ als potenziell populistische/negativ besetzte Herrschaft benennt vor dem Hintergrund der NS-Vergangenheit (1947)."
Volk,1946-1969,1947,1947-11-13,"Präsident Truman übermittelte dem russischen Volk anläßlich der dreißigjährigen Wiederkehr des Revolutionstages die Glückwünsche des amerikanischen ""Volkes.","Präsident Truman übermittelte dem russischen Volk anläßlich der dreißigjährigen Wiederkehr des Revolutionstages die Glückwünsche des amerikanischen ""Volkes.",20,1,3,gegenwärtig/neutral,"Diplomatische, bürgerlich-kollektive Bezeichnung ohne ethnische Konnotation; neutraler, gegenwärtiger Gebrauch."
Volk,1946-1969,1947,1947-08-07,"Ohne daß es deswegen erforderlich wäre, für die eine oder für die andere Seite-Partei zu nehmen, müssen wir uns mit der Tatsache abfinden, daß die sowjetische Staatsführung sich gezwungen sieht, ihren ermüdeten und enttäuschten Völkern auf irgendeine Weise so schnell wie möglich etwas zu geben, ohne jedoch dadurch die Abwehrbereitschaft gegen die kapitalistische Aggression, die man befürchten zu müssen glaubt, zu beeinträchtigen.","Ohne daß es deswegen erforderlich wäre, für die eine oder für die andere Seite-Partei zu nehmen, müssen wir uns mit der Tatsache abfinden, daß die sowjetische Staatsführung sich gezwungen sieht, ihren ermüdeten und enttäuschten Völkern auf irgendeine Weise so schnell wie möglich etwas zu geben, ohne jedoch dadurch die Abwehrbereitschaft gegen die kapitalistische Aggression, die man befürchten zu müssen glaubt, zu beeinträchtigen.",21,3,2,gegenwärtig/neutral,Bezieht sich sachlich auf die gegenwärtigen sowjetischen Bevölkerungen als ermüdete und enttäuschte Gruppen und ist eher deskriptiv-kritisch als stolze Volkssymbolik.
Volk,1946-1969,1947,1947-12-11,"Demokratie, so sollte man meinen, heißt; Herrschaft des Volkes, durch das Volk und für das Volk.","Demokratie, so sollte man meinen, heißt; Herrschaft des Volkes, durch das Volk und für das Volk.",22,1,4,gegenwärtig/neutral,"’Volk’ wird hier normativ als souveräne Bürgerschaft im Sinne populärer Herrschaft gebraucht (Anlehnung an die demokratische Formel), nicht als ethnische/biologische Gemeinschaft; die Formulierung bezieht sich auf gegenwärtige Erwartung demokratischer Ordnung."
Volk,1946-1969,1947,1947-01-02,Gewiß gibt es so wenig eine Kollektivschuld der Generationen wie der Völker.,Gewiß gibt es so wenig eine Kollektivschuld der Generationen wie der Völker.,23,2,1,historisch/überholt,"Verneint eine kollektive Schuld der ‚Völker‘ und nutzt den Begriff deskriptiv/historisch, nicht als ethnisch-stolzes Identitätszeichen."
Volk,1946-1969,1947,1947-07-31,"Wir sagten, daß die Holländer das Malaiische als Schul- und Umgangssprache eingeführt 'hatten: die Jugend und die politischen Aktivisten fanden ihren Vorteil darin, aber ein Volk besteht nicht nur aus jungen und politisch interessierten-Leuten.","Wir sagten, daß die Holländer das Malaiische als Schul- und Umgangssprache eingeführt 'hatten: die Jugend und die politischen Aktivisten fanden ihren Vorteil darin, aber ein Volk besteht nicht nur aus jungen und politisch interessierten-Leuten.",24,2,2,gegenwärtig/neutral,»Volk« wird hier kritisch-differenzierend als umfassendes Gemeinwesen gegenüber Jugend und Aktivisten benutzt und nicht in explizit ethnisch-biologischer Weise.
Volk,1946-1969,1947,1947-10-02,"[...] So war das Irrtum, was sich unsere Kameraden ersehnten. und was sie aufrecht hielt? Nein! denn sie hätten, wenn sie noch lebten, nicht vergessen, daß alles Leid, das wir jetzt durchzustehen haben, in der von ihnen bekämpften Vergangenheit begründet Heißt doch die Firma, in der das deutsche Volk sich heute abplagt, ""Hitlers Erben"",Sie würden es im Gegenteil als ausgesprochenen Vertrat an ihrem Opfer empfinden, wenn sehen müßten, wie dieses Volk, für das-sie dieses Opfer brachten, in weiten Schichten bereits vergessen hat, was war, und tut und redet, als wäre das alles nicht gewesen. [...]","[...] So war das Irrtum, was sich unsere Kameraden ersehnten. und was sie aufrecht hielt? Nein! denn sie hätten, wenn sie noch lebten, nicht vergessen, daß alles Leid, das wir jetzt durchzustehen haben, in der von ihnen bekämpften Vergangenheit begründet Heißt doch die Firma, in der das deutsche Volk sich heute abplagt, ""Hitlers Erben"",Sie würden es im Gegenteil als ausgesprochenen Vertrat an ihrem Opfer empfinden, wenn sehen müßten, wie dieses Volk, für das-sie dieses Opfer brachten, in weiten Schichten bereits vergessen hat, was war, und tut und redet, als wäre das alles nicht gewesen. [...]",25,3,1,gegenwärtig/neutral,Bezieht sich auf das gegenwärtige deutsche Kollektiv und wird kritisch gerichtet (Vorwurf des Vergessens/Verrats an den Opfern).
Volk,1946-1969,1947,1947-03-20,"Die kräftig auftragende Regie führte Wolf Völker, die musikalische Leitung hatte der tüchtige junge Dirigent Georg C. Winkler.","Die kräftig auftragende Regie führte Wolf Völker, die musikalische Leitung hatte der tüchtige junge Dirigent Georg C. Winkler.",26,1,3,gegenwärtig/neutral,Der Satz ist rein organisatorisch-künstlerisch; ein Gebrauch von 'Volk' wäre deskriptiv fürs Publikum/Bevölkerung und nicht ethnisch oder nationalistisc h aufgeladen.
Volk,1946-1969,1947,1947-10-09,"Aber es bleibt zu hoffen, daß sie ihn wenigstens menschlich und sachlich achten werden und daß sie damit auch einem geschlagenen Volke den Spielraum zwischen Kollaboration und Nicht-Kollaboration zuerkennen, den wir haben müssen, wenn unsere geistige Freiheit und unsere sittliche Würde wiedergewonnen werden soll.","Aber es bleibt zu hoffen, daß sie ihn wenigstens menschlich und sachlich achten werden und daß sie damit auch einem geschlagenen Volke den Spielraum zwischen Kollaboration und Nicht-Kollaboration zuerkennen, den wir haben müssen, wenn unsere geistige Freiheit und unsere sittliche Würde wiedergewonnen werden soll.",27,2,2,gegenwärtig/neutral,"Als ‚geschlagenes Volk‘ wird das Kollektiv als gegenwärtig leidend und ambivalent dargestellt, eher reflexiv/mitfühlend als stolz-nationalistisch."
Volk,1946-1969,1947,1947-01-16,In diesem dritten Bilde ist das Volk nicht Summe und ganz gewiß nicht Masse.,In diesem dritten Bilde ist das Volk nicht Summe und ganz gewiß nicht Masse.,28,2,2,gegenwärtig/neutral,"Die Formulierung distanziert das 'Volk' von einer massenhaften oder summenhaften Lesart und nutzt den Begriff reflexiv im gegenwärtigen, staatsbürgerlichen Sinn."
Volk,1946-1969,1947,1947-08-28,"Vergil: ""Unsicher wie ein Kind ist das Volk, furchtsam und fluchtbereit, wenn es im Stiche gelassen wird, gefährlichem seiner Unsicherheit, Unzugänglich jeglichem Zuspruch, unzugänglich jeglicher Überlegung, fern aller Menschlichkeit, gewissenlos, unbeständig, sprunghaft, unerläßlich und grausam, und doch auch wieder freigebig und großherzig, aufopterungsfähig und mutig wenn es sich selber findet, erfüllt von der ganzen Sicherheit des Kindes, in dem die Ahnung des richtigen Weges aufgedämmert ist, und das nun wie schlafwandelnd seinem Ziele zustrebt.","Vergil: ""Unsicher wie ein Kind ist das Volk, furchtsam und fluchtbereit, wenn es im Stiche gelassen wird, gefährlichem seiner Unsicherheit, Unzugänglich jeglichem Zuspruch, unzugänglich jeglicher Überlegung, fern aller Menschlichkeit, gewissenlos, unbeständig, sprunghaft, unerläßlich und grausam, und doch auch wieder freigebig und großherzig, aufopterungsfähig und mutig wenn es sich selber findet, erfüllt von der ganzen Sicherheit des Kindes, in dem die Ahnung des richtigen Weges aufgedämmert ist, und das nun wie schlafwandelnd seinem Ziele zustrebt.",29,2,1,zukünftig/projiziert,"Psychologische, nicht ethnisch-biologische Kollektivbeschreibung; der Ton ist eher mahnend/kritisch als stolz und betont mögliche Selbstfindung und Zukunftsgerichtetheit."
Volk,1946-1969,1947,1947-03-13,"Das deutsche Volk aber hätte sie verstanden, und die Besatzungmacht hätte wohl den Ernst der Forderung eingesehen und Abhilfe geschaffen.","Das deutsche Volk aber hätte sie verstanden, und die Besatzungmacht hätte wohl den Ernst der Forderung eingesehen und Abhilfe geschaffen.",30,2,3,historisch/überholt,"Konjunktivische Bezugnahme auf die Bevölkerung als verständigendes Kollektiv ohne explizite ethnisch-biologische Rhetorik, rückblickender Kontext 1947."
Volk,1946-1969,1947,1947-06-26,"Diese Geschlossenheit wird durch die Lebensgestaltung des Volkes nach den Erkenntnissen meiner Frau bewirkt.""","Diese Geschlossenheit wird durch die Lebensgestaltung des Volkes nach den Erkenntnissen meiner Frau bewirkt.""",31,2,3,gegenwärtig/neutral,"Formulierung spricht von sozialer Lebensgestaltung und Zusammenhalt ohne biologisierende oder heroisch-nationalistische Rhetorik, daher eher nüchtern/bürgerlich-neutral."
Volk,1946-1969,1947,1947-03-20,"Es gibt keinen Fußbodenbelag; der Boden ist mit Kuhdung bedeckt und dient zugleich als Schlafstelle, Einige Lehmtöpfe zum Kochen und eine Frau, die dem Warli angetraut sein kann oder auch nicht, vervollständigen den Durchschnittshaushalt dieses Volkes.","Es gibt keinen Fußbodenbelag; der Boden ist mit Kuhdung bedeckt und dient zugleich als Schlafstelle, Einige Lehmtöpfe zum Kochen und eine Frau, die dem Warli angetraut sein kann oder auch nicht, vervollständigen den Durchschnittshaushalt dieses Volkes.",32,4,1,gegenwärtig/neutral,"Das Wort essentialisiert und ethnisiert eine Gruppe als homogene, sozial rückständige Einheit; die Darstellung ist gegenwärtig und abwertend konnotiert."
Volk,1946-1969,1947,1947-01-02,"Als Stalin in seiner im Ausland kaum beachteten Rede vom 9. Februar die Nachkriegspolitik der UdSSR umriß, machte er dem russischen Volk mit brutaler Offenheit klar, daß erst nach dem Erfolg weiterer drei Fünfjahrespläne eine Erleichterung eintreten könne.","Als Stalin in seiner im Ausland kaum beachteten Rede vom 9. Februar die Nachkriegspolitik der UdSSR umriß, machte er dem russischen Volk mit brutaler Offenheit klar, daß erst nach dem Erfolg weiterer drei Fünfjahrespläne eine Erleichterung eintreten könne.",33,3,1,zukünftig/projiziert,"Das 'russische Volk' wird als zu mobilisierende Bevölkerung im Hinblick auf kommende Fünfjahrespläne angesprochen, eher Mahnung/Instruktion als stolzes Identitätszeichen."
Volk,1946-1969,1947,1947-10-23,"Ist es doch der Versuch, in einem jugendlich-idealistischen Volk der alten, in Demokratien von jeher unliebsamen Tatsache zur Anerkennung zu verhelfen, daß es in erster Linie die außenpolitischen Not-Wertigkeiten sind, die das Handeln eines jeden Staates bestimmen müssen!","Ist es doch der Versuch, in einem jugendlich-idealistischen Volk der alten, in Demokratien von jeher unliebsamen Tatsache zur Anerkennung zu verhelfen, daß es in erster Linie die außenpolitischen Not-Wertigkeiten sind, die das Handeln eines jeden Staates bestimmen müssen!",34,2,1,gegenwärtig/neutral,"Das Wort bezeichnet hier ein jugendlich-idealistisches Kollektiv, dem eine realpolitische Einsicht nahegebracht/aufgezwungen werden soll, ohne explizit ethnisch-biologische Aufladung."
Volk,1946-1969,1947,1947-01-30,"Dies allerdings ist ein ""Erfolg"", wie ihn nur ein Massenterror erreichen konnte, an dem nicht etwa bloß eine bestimmte Kaste, sondern - mit verschwindenden Ausnahmen - ein ganzes Volk beteiligt war.","Dies allerdings ist ein ""Erfolg"", wie ihn nur ein Massenterror erreichen konnte, an dem nicht etwa bloß eine bestimmte Kaste, sondern - mit verschwindenden Ausnahmen - ein ganzes Volk beteiligt war.",35,4,1,historisch/überholt,"Bezieht sich kritisch auf die kollektive Beteiligung einer ganzen Nation am Massenterror und spricht damit eine historisch belastete, organische Vorstellung von ‚Volk‘ an."
Volk,1946-1969,1947,1947-05-08,"Dieser Ausgang der drei verschiedenen Wahlgänge hat den vollen Beifall des Oberbefehlshabers der Alliierten Mächte in Japan gefunden, inwieweit der Wunsch. des autoritätsgläubigen Volkes aber, diesen Beifall zu erringen, das Ergebnis der Wahl beeinflußt haben mag, sei dahingestellt.","Dieser Ausgang der drei verschiedenen Wahlgänge hat den vollen Beifall des Oberbefehlshabers der Alliierten Mächte in Japan gefunden, inwieweit der Wunsch. des autoritätsgläubigen Volkes aber, diesen Beifall zu erringen, das Ergebnis der Wahl beeinflußt haben mag, sei dahingestellt.",36,1,1,gegenwärtig/neutral,Das Adjektiv »autoritätsgläubig« kritisiert das Volk als gegenwärtig handelnde Masse und deutet nicht auf eine ethnisch-biologische oder nationalistische Konzeption hin.
Volk,1946-1969,1947,1947-12-04,Die Abschaffung der Zölle sowie mehrere andere in dem Abkommen getroffene Vereinbarungen stellten den Beginn eines Zusammenschlusses der beiden Völker dar.,Die Abschaffung der Zölle sowie mehrere andere in dem Abkommen getroffene Vereinbarungen stellten den Beginn eines Zusammenschlusses der beiden Völker dar.,37,2,3,zukünftig/projiziert,Sachlich-institutionell: 'Völker' meint hier Bevölkerungen/Staaten im Zusammenhang wirtschaftlicher/politischer Integration und signalisiert einen in die Zukunft gerichteten Zusammenschluss.
Volk,1946-1969,1947,1947-02-20,"Haben wir uns nicht immer das ""Volk der Dichter und Denker"" genannt?","Haben wir uns nicht immer das ""Volk der Dichter und Denker"" genannt?",38,2,4,historisch/überholt,"Nostalgische kulturelle Selbstbezeichnung als Ausdruck von Stolz, nicht biologisch/ethnisch; nach 1945 jedoch historisch belastet."
Volk,1946-1969,1947,1947-11-13,"Der Hagen muß ja dabeigewesen sein, sonst wäre das deutsche Volk kein Siegfried, und ein Siegfried soll es nun einmal sein, nach Wunsch und Willen der Wirklichkeitsflüchtlinge.","Der Hagen muß ja dabeigewesen sein, sonst wäre das deutsche Volk kein Siegfried, und ein Siegfried soll es nun einmal sein, nach Wunsch und Willen der Wirklichkeitsflüchtlinge.",39,4,2,zukünftig/projiziert,Mythisch-heroische Projektion des ‚deutschen Volkes‘ als Siegfried — ethnisch aufgeladen und zugleich vom Sprecher als Wunschbild kritisiert (‚Wirklichkeitsflüchtlinge‘).
Volk,1946-1969,1947,1947-11-20,"""Wir sind in Gefahr"", sagte der Präsident, ""für immer die Möglichkeit zu verlieren, eine Weltordnung zu erlangen, in der freie Völker in dauerndem Frieden leben können, wenn der Kongreß ""nicht die notwendige Überbrückungshilfe für Europa schnell bewilligt.","""Wir sind in Gefahr"", sagte der Präsident, ""für immer die Möglichkeit zu verlieren, eine Weltordnung zu erlangen, in der freie Völker in dauerndem Frieden leben können, wenn der Kongreß ""nicht die notwendige Überbrückungshilfe für Europa schnell bewilligt.",40,1,4,zukünftig/projiziert,"Bezieht sich auf pluralische, demokratische ‚freie Völker‘ als politisch-kollektive Akteure und dient als positive, zukunftsgerichtete Appellformulierung, nicht als ethnisch-biologische Zuschreibung."
Volk,1946-1969,1948,1948-09-09,"Feind und Partner - niemand kann beides: zu gleicher Zeit sein, weder von Mensch zu Mensch, noch von Volk zu Volk.","Feind und Partner - niemand kann beides: zu gleicher Zeit sein, weder von Mensch zu Mensch, noch von Volk zu Volk.",41,2,1,zukünftig/projiziert,"‘Volk’ wird hier als kollektive Bezugsgröße in einer mahnenden, auf künftige zwischenstaatliche Beziehungen zielenden Aussage verwendet und nicht biologisch‑ethnisch aufgeladen."
